Gemeinde,Einwohner,Website,Contact Name,Email,Phone,Email Status,Notes
"Berlin, Stadt", 3 755 251,https://berlin.de,,,,,
"Hamburg, Freie und Hansestadt", 1 892 122,https://hamburg.de,,,,,
"München, Landeshauptstadt", 1 512 491,https://muenchen.de,,,,,
"Köln, Stadt", 1 084 831,https://stadt-koeln.de,,,,,
"Frankfurt am Main, Stadt",  773 068,https://frankfurt.de,,,,,
"Stuttgart, Landeshauptstadt",  632 865,https://stuttgart.de,,,,,
"Düsseldorf, Stadt",  629 047,https://duesseldorf.de,,,,,
"Leipzig, Stadt",  616 093,https://leipzig.de,,,,,
"Dortmund, Stadt",  593 317,https://dortmund.de,,,,,
"Essen, Stadt",  584 580,https://essen.de,,,,,
"Bremen, Stadt",  569 396,https://bremen.de,,,,,
"Bremen, Stadt",  569 396,https://bremen.de,,,,,
"Dresden, Stadt",  563 311,https://dresden.de,,,,,
"Hannover, Landeshauptstadt",  545 045,https://hannover.de,,,,,
Nürnberg,  523 026,No Website,,,,,
"Duisburg, Stadt",  502 211,https://duisburg.de,,,,,
"Bochum, Stadt",  365 742,https://bochum.de,,,,,
"Wuppertal, Stadt",  358 876,https://wuppertal.de,,,,,
"Bielefeld, Stadt",  338 332,No Website,,,,,
"Bonn, Stadt",  336 465,https://bonn.de,,,,,
"Münster, Stadt",  320 946,https://muenster.de,,,,,
"Mannheim, Universitätsstadt",  315 554,https://mannheim.de,,,,,
"Karlsruhe, Stadt",  308 707,https://karlsruhe.de,,,,,
Augsburg,  301 033,https://augsburg.de,,,,,
"Wiesbaden, Landeshauptstadt",  283 083,https://wiesbaden.de,,,,,
"Mönchengladbach, Stadt",  268 465,https://moenchengladbach.de,,,,,
"Gelsenkirchen, Stadt",  263 000,https://gelsenkirchen.de,,,,,
"Gelsenkirchen, Stadt",  263 000,https://gelsenkirchen.de,,,,,
"Aachen, Stadt",  252 136,https://aachen.de,,,,,
"Braunschweig, Stadt",  251 804,https://braunschweig.de,,,,,
"Chemnitz, Stadt",  248 563,https://chemnitz.de,,,,,
"Kiel, Landeshauptstadt",  247 717,https://kiel.de,,,,,
"Halle (Saale), Stadt",  242 083,https://halle.de,,,,,
"Magdeburg, Landeshauptstadt",  239 364,https://magdeburg.de,,,,,
"Freiburg im Breisgau, Stadt",  236 140,https://freiburg.de,,,,,
"Krefeld, Stadt",  228 426,https://krefeld.de,,,,,
"Mainz, Stadt",  220 552,https://mainz.de,,,,,
"Lübeck, Hansestadt",  218 095,https://luebeck.de,,,,,
"Erfurt, Stadt",  214 969,https://erfurt.de,,,,,
"Oberhausen, Stadt",  210 824,https://oberhausen.de,,,,,
"Rostock, Hanse- und Universitätsstadt",  209 920,https://rostock.de,,,,,
"Kassel, documenta-Stadt",  204 202,https://kassel.de,,,,,
"Hagen, Stadt der FernUniversität",  189 783,https://hagen.de,,,,,
"Potsdam, Stadt",  185 750,https://potsdam.de,,,,,
"Saarbrücken, Landeshauptstadt",  181 959,https://saarbruecken.de,,,,,
"Hamm, Stadt",  180 849,https://hamm.de,,,,,
"Ludwigshafen am Rhein, Stadt",  174 265,https://ludwigshafen.de,,,,,
"Oldenburg (Oldenburg), Stadt",  172 830,https://oldenburg.de,,,,,
"Mülheim an der Ruhr, Stadt",  172 404,https://muelheim-an-der-ruhr.de,,,,,
"Osnabrück, Stadt",  167 366,https://osnabrueck.de,,,,,
"Leverkusen, Stadt",  165 748,https://leverkusen.de,,,,,
"Heidelberg, Stadt",  162 273,https://heidelberg.de,,,,,
"Darmstadt, Wissenschaftsstadt",  162 243,https://darmstadt.de,,,,,
"Solingen, Klingenstadt",  160 643,No Website,,,,,
Regensburg,  157 443,https://stadt-regensburg.de,,,,,
"Herne, Stadt",  157 368,https://herne.de,,,,,
"Paderborn, Stadt",  154 755,https://paderborn.de,,,,,
"Neuss, Stadt",  154 139,https://neuss.de,,,,,
Ingolstadt,  141 029,https://ingolstadt.de,,,,,
"Offenbach am Main, Stadt",  134 170,https://offenbach.de,,,,,
Fürth,  131 433,https://fuerth.de,,,,,
"Ulm, Universitätsstadt",  128 928,https://ulm.de,,,,,
"Heilbronn, Universitätsstadt",  128 334,https://heilbronn.de,,,,,
"Pforzheim, Stadt",  127 849,https://pforzheim.de,,,,,
Würzburg,  127 810,https://wuerzburg.de,,,,,
"Wolfsburg, Stadt",  125 961,https://wolfsburg.de,,,,,
"Göttingen, Stadt",  118 946,No Website,,,,,
"Bottrop, Stadt",  118 113,https://bottrop.de,,,,,
"Reutlingen, Stadt",  117 547,https://reutlingen.de,,,,,
Erlangen,  116 562,https://erlangen.de,,,,,
"Bremerhaven, Stadt",  115 468,https://bremerhaven.de,,,,,
"Koblenz, Stadt",  115 268,https://koblenz.de,,,,,
"Bergisch Gladbach, Stadt",  112 712,https://bergischgladbach.de,,,,,
"Remscheid, Stadt",  112 613,https://remscheid.de,,,,,
"Trier, Stadt",  112 195,https://trier-info.de,,,,,
"Recklinghausen, Stadt",  111 734,https://recklinghausen.de,,,,,
"Jena, Stadt",  111 191,https://jena.de,,,,,
"Moers, Stadt",  105 287,https://moers.de,,,,,
"Salzgitter, Stadt",  104 548,https://salzgitter.de,,,,,
"Siegen, Universitätsstadt",  102 560,https://siegen.de,,,,,
"Gütersloh, Stadt",  102 393,https://guetersloh.de,,,,,
"Hildesheim, Stadt",  101 858,https://hildesheim-stadt.de,,,,,
"Hanau, Brüder-Grimm-Stadt",  101 364,https://hanau.de,,,,,
"Kaiserslautern, Stadt",  101 228,https://kaiserslautern.de,,,,,
"Cottbus/Chóśebuz, Stadt",  99 515,https://cottbus.de,,,,,
"Schwerin, Landeshauptstadt",  98 596,https://schwerin.de,,,,,
"Witten, Stadt",  95 897,No Website,,,,,
"Esslingen am Neckar, Stadt",  94 941,https://esslingen.de,,,,,
"Ludwigsburg, Stadt",  94 157,https://ludwigsburg.de,,,,,
"Gießen, Universitätsstadt",  94 146,https://giessen.de,,,,,
"Gera, Stadt",  93 634,https://gera.de,,,,,
"Düren, Stadt",  93 207,https://dueren.de,,,,,
"Tübingen, Universitätsstadt",  92 811,https://tuebingen.de,,,,,
"Flensburg, Stadt",  92 550,https://flensburg.de,,,,,
"Iserlohn, Stadt",  92 540,https://iserlohn.de,,,,,
"Villingen-Schwenningen, Stadt",  88 213,https://villingen-schwenningen.de,,,,,
"Ratingen, Stadt",  87 388,https://ratingen.de,,,,,
"Zwickau, Stadt",  87 172,https://zwickau.de,,,,,
"Lünen, Stadt",  86 868,https://luenen.de,,,,,
"Konstanz, Universitätsstadt",  85 859,https://konstanz.de,,,,,
"Worms, Stadt",  84 646,https://worms.de,,,,,
"Marl, Stadt",  84 331,https://marl.de,,,,,
"Minden, Stadt",  83 076,https://minden.de,,,,,
"Velbert, Stadt",  82 445,https://velbert.de,,,,,
"Norderstedt, Stadt",  81 880,No Website,,,,,
Bamberg,  79 935,https://bamberg.de,,,,,
"Dessau-Roßlau, Stadt",  79 655,https://dessau-rosslau.de,,,,,
"Neumünster, Stadt",  79 502,https://neumuenster.de,,,,,
"Delmenhorst, Stadt",  78 385,https://delmenhorst.de,,,,,
"Viersen, Stadt",  78 208,https://viersen.de,,,,,
"Rheine, Stadt",  77 893,https://rheine.de,,,,,
"Marburg, Universitätsstadt",  77 845,No Website,,,,,
"Lüneburg, Hansestadt",  76 837,https://hansestadt-lueneburg.de,,,,,
"Dorsten, Stadt",  76 720,https://dorsten.de,,,,,
"Troisdorf, Stadt",  76 251,https://troisdorf.de,,,,,
"Wilhelmshaven, Stadt",  76 089,https://wilhelmshaven.de,,,,,
"Gladbeck, Stadt",  75 889,No Website,,,,,
Landshut,  75 457,https://landshut.de,,,,,
"Detmold, Stadt",  75 089,No Website,,,,,
Bayreuth,  74 506,https://bayreuth.de,,,,,
"Arnsberg, Stadt",  74 323,https://arnsberg.de,,,,,
"Castrop-Rauxel, Stadt",  73 795,https://castrop-rauxel.de,,,,,
"Brandenburg an der Havel, Stadt",  73 609,No Website,,,,,
Aschaffenburg,  72 444,https://aschaffenburg.de,,,,,
"Bocholt, Stadt",  71 930,https://bocholt.de,,,,,
"Lüdenscheid, Stadt",  71 865,No Website,,,,,
"Celle, Stadt",  70 138,https://celle.de,,,,,
Kempten (Allgäu),  70 056,https://kempten.de,,,,,
"Fulda, Stadt",  69 968,https://fulda.de,,,,,
"Lippstadt, Stadt",  68 890,https://lippstadt.de,,,,,
"Aalen, Stadt",  68 816,https://aalen.de,,,,,
"Dinslaken, Stadt",  67 762,https://dinslaken.de,,,,,
"Herford, Hansestadt",  67 459,https://herford.de,,,,,
"Rüsselsheim am Main, Stadt",  67 277,https://ruesselsheim.de,,,,,
"Kerpen, Kolpingstadt",  67 239,https://stadt-kerpen.de,,,,,
"Neuwied, Stadt",  65 986,https://neuwied.de,,,,,
"Weimar, Stadt",  65 620,https://weimar.de,,,,,
"Dormagen, Stadt",  65 147,https://dormagen.de,,,,,
"Sindelfingen, Stadt",  64 995,https://sindelfingen.de,,,,,
"Plauen, Stadt",  64 763,https://plauen.de,,,,,
"Grevenbroich, Stadt",  64 596,https://grevenbroich.de,,,,,
Rosenheim,  64 403,https://rosenheim.de,,,,,
"Neubrandenburg, Vier-Tore-Stadt",  63 989,https://neubrandenburg.de,,,,,
"Friedrichshafen, Stadt",  62 932,https://friedrichshafen.de,,,,,
"Herten, Stadt",  62 473,https://herten.de,,,,,
"Bergheim, Stadt",  62 376,https://bergheim.de,,,,,
"Schwäbisch Gmünd, Stadt",  62 325,https://schwaebisch-gmuend.de,,,,,
"Offenburg, Stadt",  61 670,https://offenburg.de,,,,,
"Garbsen, Stadt",  61 349,No Website,,,,,
"Wesel, Stadt",  61 330,https://wesel.de,,,,,
"Neu-Ulm, GKSt",  61 043,https://neu-ulm.de,,,,,
"Hürth, Stadt",  60 969,https://huerth.de,,,,,
"Unna, Stadt",  60 892,https://unna.de,,,,,
"Langenfeld (Rheinland), Stadt",  59 783,https://langenfeld.de,,,,,
"Euskirchen, Stadt",  59 772,https://euskirchen.de,,,,,
"Greifswald, Universitäts- und Hansestadt",  59 691,https://greifswald.de,,,,,
"Stralsund, Hansestadt",  59 363,https://stralsund.de,,,,,
"Göppingen, Stadt",  59 053,https://goeppingen.de,,,,,
"Frankfurt (Oder), Stadt",  58 230,No Website,,,,,
"Hameln, Stadt",  57 905,https://hameln.de,,,,,
"Meerbusch, Stadt",  57 422,https://meerbusch.de,,,,,
"Baden-Baden, Stadt",  57 025,https://baden-baden.de,,,,,
"Görlitz, Stadt",  56 574,https://goerlitz.de,,,,,
"Lingen (Ems), Stadt",  56 542,https://lingen.de,,,,,
"Stolberg (Rhld.), Kupferstadt",  56 455,https://stolberg.de,,,,,
"Sankt Augustin, Stadt",  56 369,https://sankt-augustin.de,,,,,
"Waiblingen, Stadt",  56 081,https://waiblingen.de,,,,,
